onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
80.700	0.188	SACC	1161.8	-227.2	-2087.2	-305.7	3249.952	387.440	387.440	387.440
80.888	0.221	FIXA	-2095.5	-310.9	-2695.5	-445.0	614.860	972.492	321.536	504.624
82.338	7.604	FIXA	-2819.5	-376.9	1449.4	-116.4	4276.614	999.898	567.308	577.102
89.942	0.112	SACC	1453.4	-116.1	1707.7	-66.5	259.172	959.820	730.879	764.796
90.054	0.213	FIXA	1715.9	-63.2	1995.4	-71.5	279.629	912.169	808.081	771.584
90.267	0.208	SACC	1998.8	-71.6	2364.6	-58.6	366.043	821.445	821.445	821.445
90.475	0.042	FIXA	2373.5	-56.2	2419.3	-37.5	49.450	821.445	821.445	805.975
90.517	0.054	SACC	2422.9	-36.5	2519.2	-35.6	96.353	889.144	889.144	889.144
90.571	0.100	FIXA	2527.1	-35.4	2658.2	-49.9	131.822	889.144	889.144	889.144
91.400	0.067	FIXA	1220.1	-159.9	974.6	-184.8	nan	nan	nan	nan
91.467	0.175	SACC	973.4	-181.4	-160.4	-285.3	1138.590	863.975	863.975	863.975
91.642	0.096	FIXA	-170.5	-286.5	-94.9	-234.5	91.759	953.040	925.795	839.318
91.737	0.038	SACC	-98.8	-233.4	-168.6	-236.7	69.920	978.548	978.548	978.548
91.775	0.433	FIXA	-176.7	-237.5	-69.0	-146.3	141.095	991.116	705.398	687.753
92.208	0.092	SACC	-70.7	-146.2	-623.3	-165.0	552.878	400.709	400.709	400.709
92.300	0.154	FIXA	-627.8	-166.9	-647.6	-187.8	28.778	994.878	495.568	487.362
92.454	0.083	SACC	-644.9	-188.9	-99.2	-86.8	555.110	706.587	706.587	706.587
92.537	0.279	FIXA	-86.5	-83.3	-11.7	-135.8	91.424	885.515	415.615	438.405
93.292	0.067	FIXA	30.5	-21.2	33.0	-9.7	11.252	722.371	165.663	252.737
93.358	0.071	SACC	31.1	-11.9	-85.0	-143.7	175.597	696.610	696.610	696.610
93.429	0.183	FIXA	-91.4	-147.5	-121.5	-116.8	42.976	931.850	276.498	375.693
93.612	0.058	SACC	-118.5	-115.4	-6.0	-110.5	112.609	790.109	790.109	790.109
93.671	1.796	FIXA	2.8	-110.3	-193.3	-73.5	199.535	975.213	226.746	337.213
95.467	0.092	SACC	-194.8	-75.5	-804.4	-176.6	617.982	604.593	604.593	604.593
95.558	0.092	FIXA	-811.5	-176.9	-730.6	-201.5	84.567	908.179	893.928	749.451
95.650	0.096	SACC	-734.3	-201.8	-1226.7	-259.7	495.788	908.214	908.214	890.277
95.746	0.117	FIXA	-1226.9	-260.0	-1193.5	-246.2	36.156	931.633	404.521	536.605
95.862	0.125	SACC	-1190.5	-243.6	-1511.3	-246.4	320.786	944.763	424.188	589.337
95.987	0.579	FIXA	-1518.1	-243.5	-1025.9	-115.7	508.474	983.965	762.918	760.183
96.567	0.092	SACC	-1028.6	-117.0	-676.5	-76.4	354.499	722.153	263.571	285.178
96.658	0.933	FIXA	-667.2	-75.1	-520.0	-107.4	150.702	895.254	362.743	411.673
97.592	0.067	SACC	-516.0	-106.9	-364.2	-105.0	151.755	968.476	968.476	968.476
